Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
GEM_50_TAX_10_5	0.000247475110680793	0.008249987105566634	0.002315484946468806	2.940298344722293e-05	7.3507458618057325e-06	0.0007228233430775638	0.0	2.450248620601911e-06	3.1853232067824845e-05	8.330845310046497e-05	0.0003552860499872771	4.900497241203822e-06	9.92350691343774e-05	0.0	2.0827113275116242e-05	0.0	0.0	1.347636741331051e-05	4.777984810173727e-05	0.0	0.0	1.2251243103009555e-06	0.0	2.20522375854172e-05	3.6753729309028662e-06	0.00010903606361678503	1.837686465451433e-05	1.7151740344213376e-05	2.0827113275116242e-05	3.5528604998727713e-05	0.0	5.268034534294109e-05	6.370646413564969e-05	3.430348068842675e-05	0.0	0.0	2.450248620601911e-06	3.5528604998727713e-05	3.7978853619329615e-05	3.9203977929630575e-05	0.0	3.6753729309028662e-06	0.00015804103602882328	1.5926616033912422e-05	0.0	0.0	5.5130595989798e-05	0.0	3.6753919777978884e-05	0.0	7.3522013612086164e-06	0.0	3.690983072302704e-06	2.3570099610645524e-05	0.0
GEM_50_TAX_10_6	0.00023779696714141163	0.008334685435096915	0.0023406296517803405	1.9652641912513355e-05	7.861056765005343e-06	0.0007192866939979888	5.895792573754006e-06	9.826320956256678e-06	2.3583170295016025e-05	8.941952070193577e-05	0.00036553913957274844	1.4739481434385016e-05	9.531531327568978e-05	5.895792573754006e-06	3.04615949643957e-05	5.895792573754006e-06	5.895792573754006e-06	1.6704745625636352e-05	4.618370849440639e-05	5.895792573754006e-06	5.895792573754006e-06	1.0808953051882346e-05	0.0	1.4739482303394321e-05	3.930528614238485e-06	0.00010808953689155835	1.3756850149834699e-05	1.6704746610513564e-05	1.6704746610513564e-05	2.9478964606788642e-05	0.0	4.4218446910182956e-05	6.0923193520696524e-05	3.635738968170599e-05	0.0	0.0	2.947896460678864e-06	3.24268610674675e-05	2.7513700299669398e-05	2.456580383899053e-05	0.0	9.826321535596213e-07	0.00015722114456953942	1.2774217996275077e-05	0.0	0.0	4.8148977416930785e-05	0.0	2.554856729088269e-05	0.0	9.828226870032206e-06	0.0	0.0	1.783387882447925e-05	0.0
SIM_1	0.0002666566379250656	0.008488876142497262	0.0021957794874657125	4.965330499294326e-05	7.356045184139741e-06	0.0007061803376774152	3.6780225920698705e-06	1.1034067776209612e-05	3.861923721673364e-05	0.00010298463257795637	0.00040366297947966827	1.2873079072244546e-05	0.00010114562128192144	3.6780225920698705e-06	3.4941214624663775e-05	3.6780225920698705e-06	3.6780225920698705e-06	1.655110166431442e-05	4.8733799344925783e-05	3.6780225920698705e-06	3.6780225920698705e-06	7.356045184139741e-06	0.0	6.436539772859661e-06	2.758517045511283e-06	0.00010850167045677713	2.0229125000416077e-05	2.1148630682253172e-05	9.195056818370944e-06	3.310220515488871e-05	0.0	5.2411824828573786e-05	5.884836471980215e-05	3.586072225112944e-05	0.0	0.0	1.8390113974938173e-06	3.402171085363562e-05	3.402171085363562e-05	2.7585170962407264e-05	0.0	0.0	0.0001701085542681781	5.517034192481452e-06	0.0	0.0	5.057281389609988e-05	0.0	3.218285984653263e-05	0.0	1.2875597266768213e-05	0.0	1.8464619439531036e-06	3.142014468603514e-05	0.0
SIM_2	0.00029215872506852946	0.008388030764467517	0.0023007499599146694	3.459774375811533e-05	1.7298871879057666e-05	0.0007015653595395609	1.922096875450852e-06	9.61048437725426e-06	4.036403438446789e-05	7.40007297048578e-05	0.0003671205032111127	1.2493629690430536e-05	9.706589221026802e-05	1.922096875450852e-06	3.171459844493906e-05	1.922096875450852e-06	1.922096875450852e-06	1.153258125270511e-05	4.9974518761722143e-05	2.8831453131762776e-06	3.844193750901704e-06	8.649435939528833e-06	0.0	1.0571533221369905e-05	9.610484746699913e-07	9.99490413656791e-05	2.5948308816089765e-05	2.21041149174098e-05	9.610484746699913e-06	3.748089051212966e-05	0.0	5.381871458151952e-05	6.246815085354945e-05	3.075355118943972e-05	0.0	0.0	1.9220969678122664e-06	3.5558794588001435e-05	3.555879492973871e-05	3.0753552371665906e-05	0.0	2.883145534843679e-06	0.0001662613925093188	7.688388092916476e-06	0.0	0.0	5.285766966276432e-05	0.0	4.036427217955489e-05	0.0	8.651188907899288e-06	0.0	4.825036085479875e-06	2.6690531286625374e-05	0.0
SIM_3	0.0002611281253124859	0.008463867172826925	0.002375022473080229	2.48693452678558e-05	1.0362227194939918e-05	0.0007129212310118663	0.0	2.0724454389879836e-06	3.9376463340771685e-05	9.533249019344725e-05	0.0003492070564694752	6.21733631696395e-06	8.911515387648328e-05	0.0	3.626779518228971e-05	0.0	0.0	1.4507118072915884e-05	4.2485131499253656e-05	0.0	0.0	8.289781755951934e-06	0.0	8.289781755951934e-06	2.0724454389879836e-06	0.000125382949058773	2.0724454389879835e-05	2.0724454389879835e-05	8.289781755951934e-06	3.315912702380774e-05	0.0	3.834024141585828e-05	6.631825542202514e-05	3.2122904970043424e-05	0.0	0.0	4.144890963876571e-06	3.834024141585828e-05	2.6941791265197707e-05	2.1760677560351994e-05	0.0	0.0	0.00018652009337444568	5.181113704845713e-06	0.0	0.0	4.870247185354624e-05	0.0	4.455781795515925e-05	0.0	1.140073692912507e-05	0.0	2.0812216737925613e-06	3.2161916127999856e-05	0.0
SIM_4	0.00023358822362766916	0.008426805350492518	0.0022256991119240176	2.8647612331695276e-05	8.814649948213932e-06	0.0006566914211419379	0.0	2.203662487053483e-06	2.6443949844641794e-05	8.814649948213932e-05	0.0003294475418144957	5.509156217633707e-06	8.814649948213932e-05	0.0	2.8647612331695276e-05	1.1018312435267415e-06	2.203662487053483e-06	1.4323806165847638e-05	3.856409352343595e-05	2.203662487053483e-06	2.203662487053483e-06	3.305493730580224e-06	0.0	1.1018312678073837e-05	1.1018312678073838e-06	0.00010797946424512362	2.5342119159569824e-05	1.983296282053291e-05	1.1018312678073837e-05	3.6360431837643665e-05	0.0	5.7295225925983955e-05	6.941536987186518e-05	4.2971419444487964e-05	0.0	0.0	5.509156460440136e-06	3.6360432638904896e-05	4.186959002200952e-05	3.9665927389272175e-05	0.0	1.1018313163686716e-06	0.00017629301061898746	5.509156581843358e-06	0.0	0.0	6.500805196342607e-05	0.0	3.74624876541821e-05	0.0	1.2122743527623146e-05	0.0	2.2131632042318513e-06	2.5905547244323316e-05	0.0
SIM_5	0.00023579963545862541	0.008440168394972655	0.002309377873048393	3.646386115339569e-05	4.861848153786092e-06	0.0006587804248380153	2.430924076893046e-06	7.292772230679136e-06	3.8894785230288734e-05	8.751326676814964e-05	0.00033911390872657987	1.337008242291175e-05	9.480603899882878e-05	2.430924076893046e-06	3.646386115339569e-05	2.430924076893046e-06	2.430924076893046e-06	1.2154620384465228e-05	4.861848153786091e-05	2.430924076893046e-06	2.430924076893046e-06	7.292772230679136e-06	0.0	1.0939158611941345e-05	2.4309241359869656e-06	9.480604130349166e-05	2.066285515588921e-05	1.5801006883915276e-05	9.723696543947863e-06	3.403293790381752e-05	0.0	3.889478617579145e-05	5.469579305970672e-05	2.674016549585662e-05	0.0	0.0	2.4309241359869656e-06	3.403293790381752e-05	2.9171089631843586e-05	2.674016549585662e-05	0.0	2.4309241359869656e-06	0.00015314822056717884	6.077310339967414e-06	0.0	0.0	4.983394781629646e-05	0.0	3.646407655200165e-05	0.0	1.0941404523784486e-05	0.0	4.8825965023227e-06	2.0780988512659194e-05	0.0
SIM_6	0.00022959889455785568	0.008646099112655545	0.002272603872984701	3.401465104560825e-05	1.7007325522804125e-05	0.0006207673815823505	2.1259156903505156e-06	4.251831380701031e-06	2.9762819664907214e-05	8.928845899472164e-05	0.00030400594372012374	1.1692536296927835e-05	9.354029037542268e-05	2.1259156903505156e-06	2.869986181973196e-05	2.1259156903505156e-06	2.1259156903505156e-06	9.56662060657732e-06	5.208493441358763e-05	2.1259156903505156e-06	2.1259156903505156e-06	8.503662761402062e-06	0.0	5.314789338864229e-06	1.0629578677728458e-06	9.672916596732897e-05	1.9133241619911224e-05	1.594436801659269e-05	5.314789338864229e-06	3.188873603318538e-05	0.0	4.995901978532375e-05	4.783310404977806e-05	3.188873603318538e-05	0.0	0.0	1.0629578677728458e-06	3.826648323982245e-05	3.295169390095822e-05	2.2322115223229762e-05	0.0	0.0	0.00015200297509151696	4.251831471091383e-06	0.0	0.0	5.421085240889218e-05	0.0	3.507781657514209e-05	0.0	6.3790768321211014e-06	0.0	1.067531463941979e-06	2.3878315558125722e-05	0.0
VPA_1	0.00019624268225504479	0.00855668413268471	0.0023322688006464937	2.5159318237826256e-05	7.547795471347877e-06	0.0007271042970731788	0.0	2.5159318237826252e-06	3.270711370917413e-05	9.937930703941371e-05	0.0003346189325630892	1.1321693207021814e-05	9.308947747995715e-05	0.0	3.144914779728282e-05	0.0	0.0	1.1321693207021814e-05	4.402880691619594e-05	2.5159318237826252e-06	2.5159318237826252e-06	6.289829559456564e-06	0.0	7.54779566124527e-06	1.2579659435408783e-06	0.0001044111733138929	1.509559132249054e-05	1.509559132249054e-05	8.805761604786149e-06	2.767525075789932e-05	0.0	3.899694424976723e-05	6.41562631205848e-05	3.1449148588521956e-05	0.0	0.0	2.5159318870817565e-06	3.019118264498108e-05	2.515931887081757e-05	2.138542104019493e-05	0.0	1.2579659435408783e-06	0.00017611523209572297	7.54779566124527e-06	0.0	0.0	3.773897925571336e-05	0.0	2.6417417743205792e-05	0.0	8.807431388505273e-06	0.0	2.5262519258249993e-06	2.0187600138067034e-05	0.0
VPA_2	0.0002571405139146026	0.008812007611458113	0.0022771770511091248	3.2142564239325325e-05	1.4835029648919382e-05	0.0006329612650205602	0.0	2.4725049414865633e-06	9.890019765946253e-06	0.00010879021742540879	0.0003498594492203487	7.417514824459691e-06	7.170264330311034e-05	0.0	1.9780039531892507e-05	0.0	0.0	9.890019765946253e-06	3.461506918081188e-05	0.0	0.0	8.65376729520297e-06	0.0	3.7087574122298454e-06	1.2362524707432817e-06	0.00010013645013020582	1.1126272236689536e-05	1.6071282119662662e-05	3.7087574122298454e-06	2.4725049414865633e-05	0.0	3.090631253274215e-05	5.686761506024555e-05	2.2252545023574347e-05	0.0	0.0	2.472505002619372e-06	2.4725050026193716e-05	1.854378751964529e-05	1.6071282517025916e-05	0.0	0.0	0.00015947657266894948	2.472505002619372e-06	0.0	0.0	3.0906313296902295e-05	0.0	3.2142742259044835e-05	0.0	8.655396195011172e-06	0.0	3.7234370928654255e-06	1.847665130649853e-05	0.0
