Sample	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
VPA_6	362.0	566.0	901.0	1065.0	1208.0	1187.0	1264.0	1309.0	1299.0	1451.0	1605.0	1548.0	1629.0	1726.0	1794.0	1919.0	1773.0	1857.0	2013.0	2191.0	2782.0	2666.0	2870.0	2889.0	3289.0	3654.0	4042.0	4075.0	4791.0	5589.0	6969.0	8242.0	10362.0	13279.0	17599.0	27372.0	63403.0	397449.0	4102799.0	27304060.0	13892590.0
VPA_SIM_1	365.0	540.0	933.0	1034.0	1131.0	1161.0	1274.0	1265.0	1267.0	1460.0	1559.0	1532.0	1668.0	1803.0	1723.0	1845.0	1934.0	1882.0	1957.0	2121.0	2214.0	2288.0	2458.0	2646.0	2956.0	3302.0	3605.0	3512.0	4148.0	5131.0	6051.0	7194.0	9821.0	12643.0	16355.0	26135.0	64156.0	416431.0	4358362.0	28676613.0	14522578.0
VPA_SIM_2	707.0	1115.0	1782.0	2002.0	2162.0	2327.0	2372.0	2405.0	2330.0	2602.0	2881.0	2927.0	3066.0	2961.0	2948.0	3177.0	3070.0	3148.0	3266.0	3506.0	4207.0	4372.0	4919.0	5100.0	5732.0	6826.0	8097.0	7786.0	9668.0	12761.0	14433.0	15528.0	18699.0	22706.0	30121.0	45245.0	96645.0	507142.0	4919006.0	32542966.0	17252460.0
VPA_SIM_3	198.0	398.0	651.0	745.0	851.0	838.0	941.0	967.0	1018.0	1098.0	1276.0	1331.0	1384.0	1378.0	1536.0	1538.0	1521.0	1644.0	1670.0	1769.0	1995.0	2012.0	2038.0	2181.0	2291.0	2707.0	2908.0	2889.0	3378.0	4008.0	4701.0	5625.0	7192.0	9365.0	13951.0	22902.0	58000.0	391539.0	4109633.0	26984104.0	13638844.0
VPA_SIM_5	340.0	549.0	790.0	950.0	1000.0	1112.0	1182.0	1262.0	1253.0	1460.0	1639.0	1669.0	1778.0	1850.0	1913.0	2058.0	2020.0	2172.0	2216.0	2412.0	2696.0	2893.0	3231.0	3358.0	3732.0	4179.0	5051.0	5250.0	5956.0	7372.0	9137.0	10605.0	12956.0	16305.0	22889.0	34521.0	76251.0	460956.0	4787153.0	31575129.0	15850228.0
VPA_SIM_6	274.0	475.0	727.0	929.0	982.0	1057.0	1087.0	1146.0	1210.0	1321.0	1479.0	1504.0	1649.0	1608.0	1725.0	1870.0	1835.0	2018.0	2053.0	2180.0	2374.0	2401.0	2550.0	2749.0	3042.0	3385.0	3938.0	3978.0	4604.0	5986.0	6563.0	7399.0	8976.0	11410.0	16815.0	27543.0	66120.0	437415.0	4626538.0	30503909.0	15300921.0
VS_GEM_50_TAX_10_1	796.0	1081.0	1755.0	2052.0	2058.0	2193.0	2312.0	2260.0	2239.0	2302.0	2636.0	2398.0	2581.0	2629.0	2876.0	3228.0	3163.0	3233.0	3376.0	3878.0	4461.0	4787.0	5609.0	6122.0	7397.0	8766.0	10230.0	9901.0	11734.0	14663.0	17019.0	18565.0	21375.0	24235.0	32980.0	47586.0	99607.0	488312.0	4789900.0	31243910.0	16314551.0
VS_GEM_50_TAX_10_2	481.0	729.0	1179.0	1273.0	1383.0	1421.0	1473.0	1563.0	1563.0	1706.0	1903.0	1921.0	2217.0	2041.0	2428.0	2656.0	2608.0	2716.0	2928.0	3283.0	5289.0	4832.0	5590.0	4890.0	5632.0	6503.0	8593.0	8132.0	10210.0	14573.0	15850.0	15132.0	16126.0	19716.0	27510.0	42009.0	89575.0	504601.0	5135267.0	33072995.0	16799266.0
VS_GEM_50_TAX_10_3	217.0	400.0	586.0	678.0	807.0	776.0	846.0	873.0	896.0	1044.0	1187.0	1213.0	1261.0	1381.0	1499.0	1534.0	1571.0	1664.0	1647.0	1850.0	1980.0	2163.0	2272.0	2455.0	2665.0	3164.0	3511.0	3570.0	4254.0	5247.0	6136.0	7218.0	8754.0	11079.0	16449.0	26794.0	64778.0	426056.0	4484839.0	29238508.0	14695886.0
VS_GEM_50_TAX_10_4	373.0	582.0	944.0	1068.0	1168.0	1200.0	1294.0	1243.0	1229.0	1467.0	1657.0	1667.0	1738.0	1753.0	1916.0	2117.0	2035.0	2247.0	2353.0	2700.0	3366.0	3253.0	3685.0	3979.0	4666.0	5354.0	6552.0	6564.0	7749.0	9930.0	12090.0	14178.0	17832.0	22012.0	28264.0	41752.0	87519.0	480159.0	4820539.0	31554386.0	15960198.0
VS_GEM_50_TAX_10_5	403.0	629.0	1033.0	1199.0	1265.0	1334.0	1414.0	1367.0	1380.0	1577.0	1743.0	1813.0	1921.0	1866.0	1944.0	2168.0	2105.0	2188.0	2316.0	2610.0	3113.0	3170.0	3453.0	3838.0	4457.0	5337.0	6354.0	6405.0	7676.0	9625.0	11606.0	13661.0	17458.0	21509.0	27234.0	39884.0	82195.0	440078.0	4366641.0	28691241.0	14573653.0
VS_GEM_50_TAX_10_6	337.0	588.0	928.0	1081.0	1129.0	1214.0	1176.0	1300.0	1356.0	1553.0	1763.0	1729.0	1918.0	1897.0	2188.0	2397.0	2429.0	2651.0	2829.0	3132.0	4439.0	4200.0	4806.0	4959.0	5774.0	6924.0	8493.0	9013.0	10437.0	12907.0	15764.0	18846.0	23181.0	27565.0	35531.0	50889.0	98301.0	504803.0	4957612.0	32100547.0	16056320.0
