Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
VPA_5	35524093.0	0.0	35524093.0	1.0	35524093.0	0.0	35524093.0	0.0	0.0	0.0	0.0	16266519.0	323730.0	0.0	5221713.0	0.0	3510678285.0	3510678285.0	0.0	3510678285.0	3497945198.0	0.0	1607606199.0	15236694.0	0.004355899	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	45.790103634736006	0.9112970174917625	0.0
VPA_6	41319850.0	0.0	41319850.0	1.0	41319850.0	0.0	41319850.0	0.0	0.0	0.0	0.0	19306076.0	299667.0	0.0	5826886.0	0.0	4082970270.0	4082970270.0	0.0	4082970270.0	4067446276.0	0.0	1907747118.0	19505433.0	0.004795498	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	46.72349004171119	0.7252373859053215	0.0
VPA_SIM_1	42838767.0	0.0	42838767.0	1.0	42838767.0	0.0	42838767.0	0.0	0.0	0.0	0.0	16674332.0	342785.0	0.0	5357018.0	0.0	4233375758.0	4233375758.0	0.0	4233375758.0	4217398939.0	0.0	1647850335.0	20270491.0	0.004806397	98.0	99.0	0.0	100.0	100.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	38.92346388027461	0.8001747575974818	0.0
VPA_SIM_2	42928191.0	0.0	42928191.0	1.0	42928191.0	0.0	42928191.0	0.0	0.0	0.0	0.0	20284801.0	377949.0	0.0	5583994.0	0.0	4240352176.0	4240352176.0	0.0	4240352176.0	4219165261.0	0.0	2003696268.0	25787564.0	0.006112006	98.0	99.0	0.0	100.0	100.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	47.25286700294452	0.8804214461308187	0.0
VPA_SIM_3	42010389.0	0.0	42010389.0	1.0	42010389.0	0.0	42010389.0	0.0	0.0	0.0	0.0	16904558.0	391257.0	0.0	5593020.0	0.0	4151691403.0	4151691403.0	0.0	4151691403.0	4137578371.0	0.0	1670682589.0	17838743.0	0.004311397	98.0	99.0	0.0	100.0	100.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	40.2389942164068	0.931333913618367	0.0
VPA_SIM_5	47432852.0	0.0	47432852.0	1.0	47432852.0	0.0	47432852.0	0.0	0.0	0.0	0.0	21710272.0	598452.0	0.0	8982480.0	0.0	4686633254.0	4686633254.0	0.0	4686633254.0	4669554549.0	0.0	2145050237.0	21420879.0	0.004587349	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	45.77053895051472	1.2616825148949509	0.0
VPA_SIM_6	46276694.0	0.0	46276694.0	1.0	46276694.0	0.0	46276694.0	0.0	0.0	0.0	0.0	20268258.0	446432.0	0.0	7341546.0	0.0	4573098758.0	4573098758.0	0.0	4573098758.0	4556804893.0	0.0	2003011756.0	20876737.0	0.004581442	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	43.79798176594033	0.9647015839117635	0.0
VS_GEM_50_TAX_10_1	43959117.0	0.0	43959117.0	1.0	43959117.0	0.0	43959117.0	0.0	0.0	0.0	0.0	18772747.0	436904.0	0.0	5902947.0	0.0	4341762537.0	4341762537.0	0.0	4341762537.0	4322164937.0	0.0	1854115260.0	23139026.0	0.005353573	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	42.70501384274848	0.993887115612445	0.0
VS_GEM_50_TAX_10_2	46485587.0	0.0	46485587.0	1.0	46485587.0	0.0	46485587.0	0.0	0.0	0.0	0.0	21174455.0	507052.0	0.0	7764676.0	0.0	4592323221.0	4592323221.0	0.0	4592323221.0	4573032323.0	0.0	2091742020.0	24357966.0	0.005326436	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	45.550581086563454	1.0907725011625646	0.0
VS_GEM_50_TAX_10_3	43562735.0	0.0	43562735.0	1.0	43562735.0	0.0	43562735.0	0.0	0.0	0.0	0.0	19097717.0	465827.0	0.0	7125080.0	0.0	4304990272.0	4304990272.0	0.0	4304990272.0	4287902726.0	0.0	1887278144.0	22401399.0	0.005224326	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	43.83957297447004	1.0693245040744113	0.0
VS_GEM_50_TAX_10_4	46322268.0	0.0	46322268.0	1.0	46322268.0	0.0	46322268.0	0.0	0.0	0.0	0.0	20365104.0	527512.0	0.0	7981674.0	0.0	4576400187.0	4576400187.0	0.0	4576400187.0	4557436774.0	0.0	2011875635.0	24451128.0	0.005365105	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	43.963961350078975	1.1387870732063465	0.0
VS_GEM_50_TAX_10_5	42397036.0	0.0	42397036.0	1.0	42397036.0	0.0	42397036.0	0.0	0.0	0.0	0.0	17277493.0	396022.0	0.0	5785611.0	0.0	4188409312.0	4188409312.0	0.0	4188409312.0	4171168601.0	0.0	1706773523.0	21423893.0	0.005136185	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	40.75165301649861	0.9340794483840804	0.0
VS_GEM_50_TAX_10_6	47650886.0	0.0	47650886.0	1.0	47650886.0	0.0	47650886.0	0.0	0.0	0.0	0.0	21392845.0	625419.0	0.0	9500406.0	0.0	4706450889.0	4706450889.0	0.0	4706450889.0	4688546752.0	0.0	2112637548.0	23398064.0	0.004990472	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	44.89495746207112	1.3125023530517355	0.0
