Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X	Y	MT	*
VPA_5	[3578283, 249250621]	[3167724, 243199373]	[2234542, 198022430]	[1572711, 191154276]	[2457381, 180915260]	[2358819, 171115067]	[2348824, 159138663]	[1908849, 146364022]	[1798124, 141213431]	[1378715, 135534747]	[2276904, 135006516]	[2543026, 133851895]	[670145, 115169878]	[3512902, 107349540]	[1132763, 102531392]	[1316989, 90354753]	[2410368, 81195210]	[400660, 78077248]	[837059, 59128983]	[849926, 63025520]	[414141, 48129895]	[573996, 51304566]	[805904, 155270560]	[14449, 59373566]	[182602, 16569]	[0, 0]
VPA_6	[4086735, 249250621]	[3566036, 243199373]	[2605740, 198022430]	[1698859, 191154276]	[2711432, 180915260]	[2662294, 171115067]	[2764568, 159138663]	[2259125, 146364022]	[2361691, 141213431]	[1575605, 135534747]	[2891190, 135006516]	[3124733, 133851895]	[754919, 115169878]	[3896940, 107349540]	[1297576, 102531392]	[1730180, 90354753]	[2180089, 81195210]	[440734, 78077248]	[1007385, 59128983]	[1079713, 63025520]	[585007, 48129895]	[663227, 51304566]	[892162, 155270560]	[22576, 59373566]	[288220, 16569]	[0, 0]
VPA_SIM_1	[4325983, 249250621]	[3798480, 243199373]	[2601144, 198022430]	[1787571, 191154276]	[2870221, 180915260]	[2338921, 171115067]	[2983071, 159138663]	[2394780, 146364022]	[2058141, 141213431]	[1723865, 135534747]	[2961078, 135006516]	[3034732, 133851895]	[791949, 115169878]	[3309480, 107349540]	[1378384, 102531392]	[1922399, 90354753]	[2672010, 81195210]	[472882, 78077248]	[1004150, 59128983]	[1164076, 63025520]	[607275, 48129895]	[698308, 51304566]	[952260, 155270560]	[28883, 59373566]	[315742, 16569]	[0, 0]
VPA_SIM_2	[4462873, 249250621]	[3829107, 243199373]	[2565481, 198022430]	[1794071, 191154276]	[2804980, 180915260]	[1891072, 171115067]	[3033299, 159138663]	[2331668, 146364022]	[1945482, 141213431]	[1700695, 135534747]	[3074612, 135006516]	[2798053, 133851895]	[777430, 115169878]	[3065726, 107349540]	[1333151, 102531392]	[2234177, 90354753]	[2471725, 81195210]	[448250, 78077248]	[1051871, 59128983]	[1351488, 63025520]	[910625, 48129895]	[682340, 51304566]	[983481, 155270560]	[34030, 59373566]	[936498, 16569]	[0, 0]
VPA_SIM_3	[4248735, 249250621]	[3774015, 243199373]	[2592244, 198022430]	[1839987, 191154276]	[2860837, 180915260]	[2363996, 171115067]	[2937838, 159138663]	[2375776, 146364022]	[2075298, 141213431]	[1662636, 135534747]	[2933235, 135006516]	[2997380, 133851895]	[822105, 115169878]	[3457391, 107349540]	[1336416, 102531392]	[1817849, 90354753]	[2607512, 81195210]	[448020, 78077248]	[941993, 59128983]	[1079629, 63025520]	[514542, 48129895]	[657186, 51304566]	[947486, 155270560]	[18034, 59373566]	[293269, 16569]	[0, 0]
VPA_SIM_5	[4687223, 249250621]	[4065302, 243199373]	[3240991, 198022430]	[1917601, 191154276]	[3135971, 180915260]	[2934745, 171115067]	[3165692, 159138663]	[2637577, 146364022]	[2923752, 141213431]	[1801022, 135534747]	[3195623, 135006516]	[3487366, 133851895]	[843026, 115169878]	[6093565, 107349540]	[1482901, 102531392]	[1982169, 90354753]	[3270575, 81195210]	[488684, 78077248]	[1132022, 59128983]	[1177498, 63025520]	[567457, 48129895]	[782680, 51304566]	[1035206, 155270560]	[29393, 59373566]	[337291, 16569]	[0, 0]
VPA_SIM_6	[4609371, 249250621]	[4004816, 243199373]	[2925294, 198022430]	[1925095, 191154276]	[3014561, 180915260]	[2710989, 171115067]	[3143102, 159138663]	[2556036, 146364022]	[2538538, 141213431]	[1811184, 135534747]	[3109124, 135006516]	[3439046, 133851895]	[868753, 115169878]	[5277601, 107349540]	[1466329, 102531392]	[1893441, 90354753]	[2981226, 81195210]	[489358, 78077248]	[1094505, 59128983]	[1162917, 63025520]	[534132, 48129895]	[749820, 51304566]	[1016485, 155270560]	[20155, 59373566]	[276362, 16569]	[0, 0]
VS_GEM_50_TAX_10_1	[4491246, 249250621]	[3722407, 243199373]	[2480461, 198022430]	[1651934, 191154276]	[2602889, 180915260]	[2096876, 171115067]	[3087391, 159138663]	[2341063, 146364022]	[2053731, 141213431]	[1692031, 135534747]	[3053862, 135006516]	[2957575, 133851895]	[785827, 115169878]	[3382750, 107349540]	[1359460, 102531392]	[2287534, 90354753]	[3285410, 81195210]	[430306, 78077248]	[1319917, 59128983]	[1497814, 63025520]	[887937, 48129895]	[839574, 51304566]	[922898, 155270560]	[23926, 59373566]	[607245, 16569]	[0, 0]
VS_GEM_50_TAX_10_2	[4716085, 249250621]	[3960847, 243199373]	[3109145, 198022430]	[1803278, 191154276]	[2938916, 180915260]	[2503601, 171115067]	[3215672, 159138663]	[2522283, 146364022]	[2599406, 141213431]	[1835952, 135534747]	[3194759, 135006516]	[3143626, 133851895]	[793785, 115169878]	[5332792, 107349540]	[1483026, 102531392]	[2171607, 90354753]	[2981605, 81195210]	[481873, 78077248]	[1251607, 59128983]	[1297126, 63025520]	[630258, 48129895]	[805092, 51304566]	[1023395, 155270560]	[23772, 59373566]	[430755, 16569]	[0, 0]
VS_GEM_50_TAX_10_3	[4430393, 249250621]	[3933829, 243199373]	[2913042, 198022430]	[1823012, 191154276]	[2876827, 180915260]	[2664563, 171115067]	[2826082, 159138663]	[2341122, 146364022]	[2500600, 141213431]	[1690461, 135534747]	[2851762, 135006516]	[3136574, 133851895]	[766652, 115169878]	[5043873, 107349540]	[1414042, 102531392]	[1735285, 90354753]	[2762748, 81195210]	[490528, 78077248]	[1009029, 59128983]	[1068823, 63025520]	[496716, 48129895]	[702537, 51304566]	[945881, 155270560]	[28584, 59373566]	[234850, 16569]	[0, 0]
VS_GEM_50_TAX_10_4	[4670282, 249250621]	[4001697, 243199373]	[2951263, 198022430]	[1825587, 191154276]	[2913744, 180915260]	[2674726, 171115067]	[3054336, 159138663]	[2479520, 146364022]	[2809609, 141213431]	[1777815, 135534747]	[3140077, 135006516]	[3568237, 133851895]	[770949, 115169878]	[4988072, 107349540]	[1450027, 102531392]	[2082075, 90354753]	[3491345, 81195210]	[498345, 78077248]	[1137661, 59128983]	[1239366, 63025520]	[636472, 48129895]	[792946, 51304566]	[973845, 155270560]	[43152, 59373566]	[332794, 16569]	[0, 0]
VS_GEM_50_TAX_10_5	[4308663, 249250621]	[3696757, 243199373]	[2549961, 198022430]	[1672500, 191154276]	[2683488, 180915260]	[2315570, 171115067]	[2914645, 159138663]	[2302351, 146364022]	[2228199, 141213431]	[1649963, 135534747]	[2918737, 135006516]	[3045222, 133851895]	[711690, 115169878]	[3598437, 107349540]	[1334729, 102531392]	[2037149, 90354753]	[2788772, 81195210]	[450696, 78077248]	[1071244, 59128983]	[1234929, 63025520]	[650788, 48129895]	[728326, 51304566]	[895843, 155270560]	[40219, 59373566]	[353769, 16569]	[0, 0]
VS_GEM_50_TAX_10_6	[4861067, 249250621]	[4143743, 243199373]	[3305176, 198022430]	[1854743, 191154276]	[3014959, 180915260]	[3036412, 171115067]	[3069627, 159138663]	[2446106, 146364022]	[3057039, 141213431]	[1840725, 135534747]	[3063125, 135006516]	[3386754, 133851895]	[774607, 115169878]	[6066879, 107349540]	[1510671, 102531392]	[1953721, 90354753]	[3989358, 81195210]	[538728, 78077248]	[1176417, 59128983]	[1227438, 63025520]	[594161, 48129895]	[831152, 51304566]	[1030419, 155270560]	[47203, 59373566]	[331062, 16569]	[0, 0]
